nome;tipo;citta;provincia;indirizzo;email;telefono;sito;maps;priorita;fascia;fonte
Centro Model;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=37.2518447,15.0887252;0;Bassa;OpenStreetMap
Trenidea;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=44.4137715,8.9299398;0;Bassa;OpenStreetMap
Model Giochi;negozio;;;Via Nicola Barbantini 48;;3,93282E+11;;https://www.google.com/maps/search/?api=1&query=43.8457218,10.5188302;0;Bassa;OpenStreetMap
Big modellismo;negozio;Ancona;;Via Guglielmo Marconi 81 60125 Ancona;;;;https://www.google.com/maps/search/?api=1&query=43.6117682,13.5042022;0;Bassa;OpenStreetMap
Modellismo Bartoli Severi Giovanni;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=44.6973407,10.6349490;0;Bassa;OpenStreetMap
General Modelling Group;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=44.7043596,10.6312364;0;Bassa;OpenStreetMap
Modellismo Tommasin incisioni;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=45.4069491,11.8664128;0;Bassa;OpenStreetMap
Car's show modellismo;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=45.5499422,9.3019854;0;Bassa;OpenStreetMap
Modellismo Negri Giordano;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=45.6123978,9.5293475;0;Bassa;OpenStreetMap
Bigi Modellismo;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=44.7081615,10.6387235;0;Bassa;OpenStreetMap
Modellismo Edomodel;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=44.5480590,11.3569926;0;Bassa;OpenStreetMap
Lo Hobbit;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=43.7765201,11.2990375;0;Bassa;OpenStreetMap
Hobby model;negozio;Arce;;Via Casilina Nord 03032 Arce;;;;https://www.google.com/maps/search/?api=1&query=41.5865928,13.5705313;0;Bassa;OpenStreetMap
Free model;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=44.3997010,12.1869273;0;Bassa;OpenStreetMap
Modellismo Polo;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=45.0794365,7.6301893;0;Bassa;OpenStreetMap
Sintex;negozio;;;Via Francesco Crispi 21a, 34125 Trieste;;;;https://www.google.com/maps/search/?api=1&query=45.6512,13.7805;0;Bassa;Scalemates
Model Kit Planet Modellismo;negozio;;;Via Giuseppe Cesare Abba 39, 09127 Cagliari;;;;https://www.google.com/maps/search/?api=1&query=39.2289,9.1138;0;Bassa;Scalemates
